"wirtschaftsbereich";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"2.1 Bruttowertschöpfung in jeweiligen Preisen gesamt";"61777960";"67877633";"72890366";"75084978";"77695056";"77058686";"75979752";"76124635";"76259008";"76979573";"77883744";"78065208";"77196132";"77395769";"78957311";"81787856";"85186492";"89336951";"89057296";"92948391";"97139132";"98765902";"101539580";"105662373";"111442083";"116574859"
"2.2 Land- und Forstwirtschaft, Fischerei (A)";"22629";"17727";"16144";"17322";"16220";"16781";"16166";"16843";"11034";"11796";"10836";"11298";"9648";"13405";"12306";"11833";"8268";"8307";"5960";"5300";"5328";"5530";"5257";"4x531";"4309";"4523"
"2.3.1.1 Bergbau und Gewinnung von Steinen und Erden (B)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"22517";"9675";"23252";"7851";"11763";"15149";"3720";"-";"-"
"2.3.1.2 Verarbeitendes Gewerbe (C)";"10787112";"10332811";"9950252";"9468875";"9576330";"9296578";"9132708";"8729154";"8722282";"8745372";"8545733";"8463553";"8368064";"8562533";"8517657";"9030427";"9499263";"9636480";"9252604";"9798517";"10499752";"10000751";"9572690";"9896416";"10026478";"10183038"
"2.3.1.3 Energieversorgung (D)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1439572";"1471630";"1487346";"1230888";"1262835";"1097676";"981124";"-";"-"
"2.3.1.4 Wasserversorgung, Entsorgung u. Ä. (E)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1529883";"1542451";"1934651";"1909426";"1862513";"1830002";"1971722";"-";"-"
"2.3.2 Baugewerbe (F)";"3845086";"4937432";"5207784";"5647552";"5851564";"5318174";"5004973";"4380380";"4072884";"3647172";"3091670";"2955360";"2704963";"2511046";"2356402";"2405061";"2648220";"2759426";"2745837";"3106224";"3376907";"3433805";"3610756";"3840485";"4106902";"4643054"
"2.4.1.1 Handel, Instandhaltung und Reparatur von Kraftfahrzeugen (G)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6027862";"6098056";"5895564";"5933336";"6128865";"6668626";"7398884";"-";"-"
"2.4.1.2 Verkehr und Lagerei (H)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4107581";"4164555";"4182002";"4434288";"4368962";"4555695";"4498230";"-";"-"
"2.4.1.3 Gastgewerbe (I)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1809060";"1777357";"1947833";"2081073";"2198135";"2194237";"2384189";"-";"-"
"2.4.2 Information und Kommunikation (J)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5402505";"5703977";"5542592";"5119901";"5779909";"5953793";"6424016";"6616440";"7142771";"6662512";"6650761";"7654507";"7816626";"8005573";"8589892";"9263589";"-"
"2.4.3 Finanz- und Versicherungsdienstleister (K)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3956125";"3946403";"4058037";"4270204";"4286356";"3905995";"3806040";"3475617";"3282902";"3638828";"3902103";"3536942";"3772532";"3760610";"3552295";"3597821";"-"
"2.4.4 Grundstücks- und Wohnungswesen (L)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9505072";"9444206";"9336007";"9612148";"9470667";"9851797";"10896385";"11791118";"12975433";"12755609";"13271509";"13900724";"13734479";"14328564";"14120363";"14723219";"-"
"2.4.5.1 Freiberufliche, wissenschaftliche und technische Dienstleister (M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7856091";"7672173";"7975930";"8187785";"8521518";"8651330";"8993336";"-";"-"
"2.4.5.2 Sonstige Unternehmensdienstleister (N)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4807633";"4539555";"4850357";"5454144";"5743089";"5901648";"6723576";"-";"-"
"2.4.6.1 Öffentliche Verwaltung, Verteidigung, Sozialversicherung (O)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8295551";"8436841";"8776956";"9103888";"9615888";"10014501";"10331151";"-";"-"
"2.4.6.2 Erziehung und Unterricht (P)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4926303";"5201535";"5383139";"5657970";"5694412";"5849842";"6277835";"-";"-"
"2.4.6.3 Gesundheits- und Sozialwesen (Q)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6978804";"7295094";"7632068";"8003591";"8440366";"8997785";"9291750";"-";"-"
"2.4.7.1 Kunst, Unterhaltung und Erholung (R)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2373372";"2379234";"2456924";"2573743";"2522967";"2707890";"2739963";"-";"-"
"2.4.7.2 Sonstige Dienstleister a.n.g. (S)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3161773";"3204506";"3465297";"3373397";"3407404";"3528404";"3806961";"-";"-"
"2.4.7.3 Private Haushalte mit Hauspersonal (T)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"195630";"203284";"202658";"213592";"223462";"243345";"255950";"-";"-"